垫江县未成年人保护中心（二期）建设工程（生化池、围墙、绿化）中标结果公告,招标代理机构：,重庆顺邦建设工程有限公司, 700899.11,"
				                【信息时间：2019-10-31】【字号 "
长寿中科未来城创新产业园二期基础设施项目道路工程监理中标结果公告,招标代理机构：四川大家工程项目管理有限公司     ,浙江明康工程咨询有限公司, ,"
				                【信息时间：2019-10-31】【字号 "
长寿中科未来城创新产业园二期基础设施项目道路工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-10-31】【字号 "
主城区“两江四岸”治理提升贯通工程-渔秋浩码头至龙凤寺段可行性研究报告阶段勘察、设计中标结果公告,重庆九龙半岛开发建设有限公司,黄河勘测规划设计研究院有限公司,,"
				                【信息时间：2019-11-01】【字号 "
奉节县G242莲花塘养护站至高桥段公路改建工程（白龙寺隧道）勘察设计中标结果公告,奉节县交通设计室,重庆路威土木工程设计有限公司,430.00,"
				                【信息时间：2019-11-01】【字号 "
丰都县名山组团二洞桥排水工程设计中标结果公告,丰都县城市建设资产经营有限责任公司,林同棪国际工程咨询（中国）有限公司,140.16,"
				                【信息时间：2019-11-01】【字号 "
南岸区上新街片区智能交通改革建设应急工程中标结果公告, ,重庆市圣奇建设,790.955704,"
				                【信息时间：2019-11-01】【字号 "
黔江区G319城区至彭水界路面改造工程勘察设计中标结果公告,招标代理机构：,重庆路威土木工程设计有限公司,74,"
				                【信息时间：2019-11-01】【字号 "
奉节县高铁生态城（棚户区）路网及配套设施项目高铁片区路网场平工程一期监理中标结果公告,重庆奉节城市建设有限公司,河南创达建设工程管理有限公司,73.00%,"
				                【信息时间：2019-11-01】【字号 "
奉节县永乐镇酒溜社区农村移民安置区精准帮扶项目中标结果公告,重庆奉节水电开发有限公司,四川省天磊迅建筑工程有限公司,740.4058 ,"
				                【信息时间：2019-11-01】【字号 "
黔江区G319濯水至城区段路面改造工程勘察设计中标结果公告,招标代理机构：,中铁城际规划建设有限公司,99.37,"
				                【信息时间：2019-11-01】【字号 "
农村四好公路工程（南山片区2018年计划双龙村）中标结果公告, ,河南天添建设工程有限公司,714.4333,"
				                【信息时间：2019-11-01】【字号 "
川维生活区物业整改项目中标结果公告,"
      ","
      ",,"
				                【信息时间：2019-11-04】【字号 "
开州浦里工业新区临港组团污水处理厂一期监理中标结果公告,招标代理机构：,上海协恒工程管理有限公司,,"
				                【信息时间：2019-11-04】【字号 "
奉节县大树镇集镇水厂巩固提升工程中标结果公告,奉节县大树镇人民政府,重庆彼峰建筑工程有限公司,240.069364 ,"
				                【信息时间：2019-11-04】【字号 "
黔江区沙坝乡中心学校中信科普楼工程（第二次）中标结果公告,招标代理机构：,中欧国际建工集团有限公司,931.352329,"
				                【信息时间：2019-11-04】【字号 "
长寿区机动车驾驶人考试中心项目装饰工程中标结果公告,重庆市长寿区保安服务有限责任公司,重庆金渝建设工程有限公司,5766680.11,"
				                【信息时间：2019-11-05】【字号 "
长寿区乐至·寿城水岸定向销售住房配建公租房项目-D2#公租房室内装饰工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-05】【字号 "
武隆区x155线乌江二桥至土坎路面改造工程中标结果公告,招标代理机构：北京市建壮咨询有限公司,核工业华东建设工程集团公司,1971.407599,"
				                【信息时间：2019-11-05】【字号 "
忠县黄金集镇基础设施完善项目（场地绿化）中标结果公告,招标代理机构：,重庆广利建设工程有限公司,352.721425,"
				                【信息时间：2019-11-05】【字号 "
乡村振兴邻封场镇风貌整治工程EPC总承包中标结果公告,重庆市长寿区城乡统筹开发有限公司,中海外建工集团有限公司,设计费报价,"
				                【信息时间：2019-11-05】【字号 "
永乐镇白龙村光伏电站项目中标结果公告,奉节县永乐镇人民政府,重庆平康建筑工程有限公司,274.640077,"
				                【信息时间：2019-11-05】【字号 "
林业有害生物防治能力提升项目（分包三：专用设备采购）（第二次）的中标结果公示,,,,"
				                【信息时间：2019-11-05】【字号 "
潼南区S440太安至柏梓段改建工程监理中标结果公告,招标代理机构：,重庆国幅工程管理咨询有限公司,122.85,"
				                【信息时间：2019-11-06】【字号 "
重庆市长寿区2019年“四好农村路”—云台镇鲤鱼村李子园产业路中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-06】【字号 "
渝北区石船镇关兴聚居区一期环境工程中标结果公告,,,,"
				                【信息时间：2019-11-06】【字号 "
渝北区石船镇石壁村农民聚居区（矿山公园入口处）环境工程中标结果公告,,,,"
				                【信息时间：2019-11-06】【字号 "
鱼洞污水处理厂一期底部曝气改造工程的中标结果公示,废标原因,,,"
				                【信息时间：2019-11-06】【字号 "
长寿区邻封镇上坪村精准帮扶项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-07】【字号 "
重庆市石柱县中益乡农村交通综合服务站建设工程中标结果公告,招标代理机构：重庆招标采购（集团）有限责任公司,四川缔信建设工程有限公司,668.7381,"
				                【信息时间：2019-11-07】【字号 "
奉节县高铁生态城（棚户区）路网及配套设施项目高铁片区路网场平工程一期中标结果公告,招标代理机构：,江西省梦远建设有限公司, 34282181.46,"
				                【信息时间：2019-11-07】【字号 "
钓鱼城创建国家5A级旅游景区项目—钓鱼城游客中心及停车场改造工程（第二次）中标结果公告,重庆渝圣建筑工程有限公司　,单位名称,,"
				                【信息时间：2019-11-08】【字号 "
黔江区15处重大地质灾害隐患点控制性勘查项目二标段中标结果公告,招标代理机构：重庆凯弘工程咨询有限公司,重庆市二零八工程勘察设计院有限公司,177,"
				                【信息时间：2019-11-08】【字号 "
黔江区15处重大地质灾害隐患点控制性勘查项目二标段中标结果公告,招标代理机构：重庆凯弘工程咨询有限公司,重庆市二零八工程勘察设计院有限公司,177,"
				                【信息时间：2019-11-08】【字号 "
黔江区15处重大地质灾害隐患点控制性勘查项目一标段中标结果公告,招标代理机构：重庆凯弘工程咨询有限公司,重庆一零七市政建设工程有限公司,183.3835,"
				                【信息时间：2019-11-08】【字号 "
黔江区15处重大地质灾害隐患点控制性勘查项目一标段中标结果公告,招标代理机构：重庆凯弘工程咨询有限公司,重庆一零七市政建设工程有限公司,183.3835,"
				                【信息时间：2019-11-08】【字号 "
奉节县人民法院审判业务用房建设项目装修设计中标结果公告,重庆奉节工业有限公司,中维国际工程设计有限公司,,"
				                【信息时间：2019-11-08】【字号 "
大渡口区“十三五”农村公路路网新建改建工程（一期）--金沙路二期施工中标结果公告,招标代理机构：,四川中建建业工程有限责任公司,2071.555099,"
				                【信息时间：2019-11-08】【字号 "
　　　　　　重庆市黔江区G319线花地坪大桥维修处治工程中标结果公告, ,安徽昌达道路设施工程有限责任公司, ,"
				                【信息时间：2019-11-08】【字号 "
渝航大道（渝北段）绿化提升工程—边坡部分中标结果公告,,,,"
				                【信息时间：2019-11-11】【字号 "
仁义镇瑶山社区公路油化工程中标结果公告,重庆市荣昌区仁义镇人民政府 ,四川沱江路桥建设工程股份有限公司,672,"
				                【信息时间：2019-11-11】【字号 "
黔江区新华初级中学校综合楼工程中标结果公告,重庆市黔江区新华初级中学校,重庆黔宏建筑有限公司,1937.146661,"
				                【信息时间：2019-11-11】【字号 "
重庆市长寿区2019年“四好农村路”海棠镇小河村通组公路中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-12】【字号 "
潼南区省道S440双江至崇龛段改建工程监理中标结果公告,招标代理机构：,云南易通工程监理咨询有限公司,147.56,"
				                【信息时间：2019-11-12】【字号 "
重庆市长寿区晏家河河岸生态修复项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-12】【字号 "
江津区“四好公路”建设项目（西湖段）—独大旅游路、黄岩旅游路）建设项目中标结果公告,,,,"
				                【信息时间：2019-11-12】【字号 "
奉节县西部新区管委会冒峰社区幼儿园、奉节县西部新区管委会冒峰社区幼儿园北侧高边坡治理工程监理中标结果公告,奉节县永安幼儿园,重庆方园招标代理有限公司,79.30 ,"
				                【信息时间：2019-11-12】【字号 "
2019年四好农村路安坪镇海角社区通组公路工程中标结果公告,奉节县安坪镇人民政府,四川稷品建设工程有限公司,8294182.00,"
				                【信息时间：2019-11-12】【字号 "
长寿经开区中航油用地电力搬迁工程设计、施工、采购总承包中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-13】【字号 "
长寿区晏家片区市政雨污管网工程(二次招标）中标结果公告,"
      ","
      ",,"
				                【信息时间：2019-11-13】【字号 "
长寿区晏家街道沙塘村精准帮扶项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-13】【字号 "
重庆市开州区满月乡卫生院迁建工程中标结果公告,重庆市开州区满月乡卫生院,重庆建工第四建设有限责任公司,27990252.89,"
				                【信息时间：2019-11-13】【字号 "
忠县石宝镇贯丰村农村移民安置区精准帮扶项目中标结果公告,忠县石宝镇人民政府,重庆市重强建筑工程有限公司,1042.999419,"
				                【信息时间：2019-11-13】【字号 "
奉节县龙桥土家族乡卫生院业务综合楼建设工程中标结果公告,奉节县龙桥土家族乡人民政府,重庆开平建筑工程有限公司,614.255380,"
				                【信息时间：2019-11-13】【字号 "
开州浦里工业新区临港组团污水处理厂一期中标结果公告,招标代理机构：,重庆建工第七建筑工程有限责任公司,3948.135681,"
				                【信息时间：2019-11-14】【字号 "
长寿经开区超纤项目用地110KV花国东、西线搬迁工程设计、施工、采购总承包中标结果公告,"
      ","
      ",,"
				                【信息时间：2019-11-14】【字号 "
长寿区2019年农村饮水安全巩固提升工程中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-14】【字号 "
两江东湖公园项目特许经营权中标结果公告,,,,"
				                【信息时间：2019-11-14】【字号 "
朱杨溪等4个国考断面规范化建设项目中标结果公告,招标代理机构：重庆方郡建设工程咨询有限公司, 重庆筑璨建筑工程有限公司, ,"
				                【信息时间：2019-11-14】【字号 "
厂房5号楼工程中标结果公告,重庆北部农业开发（集团）有限公司,建筑工程施工总承包特级,2610,"
				                【信息时间：2019-11-14】【字号 "
学生九公寓项目中标结果公告,重庆工程职业技术学院,重庆建工第十一建筑工程有限责任公司,3777,"
				                【信息时间：2019-11-15】【字号 "
开州区岳溪镇雨污分流改造项目设计中标结果公告,招标代理机构：,重庆华筑建筑设计集团有限公司,《工程勘察设计收费管理规定》（计价格〔,"
				                【信息时间：2019-11-15】【字号 "
江津区“四好农村路”建设项目（李市段三期）一标段知白旅游路、龙炮旅游路、化田旅游路、姚老旅游路、苏白旅游路、洪沟旅游路中标结果公告,,,,"
				                【信息时间：2019-11-15】【字号 "
2019年黔江区公路安全生命防护工程中标结果公告,招标代理机构：凌辉建设工程咨询有限公司,重庆和亚建筑工程有限公司,1903,"
				                【信息时间：2019-11-15】【字号 "
垫江县桂溪街道长大社区便民服务中心建设项目中标结果公告,招标代理机构：,重庆市源鹏建筑工程有限公司,3710455.81,"
				                【信息时间：2019-11-15】【字号 "
潼南毛家大坡棚改区市场附属工程中标结果公告,招标代理机构：,重庆渝松建设有限公司,下浮比例：,"
				                【信息时间：2019-11-15】【字号 "
忠县石宝镇休闲旅游公园建设工程中标结果公告,招标代理机构：,重庆市忠县建筑工程有限公司,410.006798,"
				                【信息时间：2019-11-15】【字号 "
长寿区司法业务用房建设项目、长寿区伍号商务楼项目平基土石方及边坡基坑支护工程（第二次）中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-18】【字号 "
鲁能城三期（商业）F55-1地块施工监理中标结果公告,重庆鲁能开发（集团）有限公司　,重庆兴隆建设工程监理有限公司,434.870535,"
				                【信息时间：2019-11-18】【字号 "
开州区南门镇雨污分流改造项目设计拟中标结果公示表,招标代理机构：,重庆迪赛因建设工程设计有限公司,《工程勘察设计收费管理规定》（计价格〔,"
				                【信息时间：2019-11-18】【字号 "
2018年道路及下排改造项目—新建南北大道隔音屏项目施工中标结果公告,得分,国诚集团,,"
				                【信息时间：2019-11-18】【字号 "
开州区2018年深化脱贫攻坚农村公路建设项目第二批南门镇龙河村公路改造工程中标结果公告,招标代理机构：,重庆和宇路桥工程有限公司,407.457912,"
				                【信息时间：2019-11-18】【字号 "
大进镇有机茶园对外连接道改造工程中标结果公告,招标代理机构：重庆两仪工程咨询有限公司,四川承烨建设工程有限公司,340.2159,"
				                【信息时间：2019-11-19】【字号 "
长寿区江南街道锯梁村精准帮扶项目（一期）中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-19】【字号 "
长寿柚博物馆建设项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-19】【字号 "
重庆白俄罗斯风情小镇项目勘察设计中标结果公告,重庆临空都市农业开发建设有限公司,,勘察综合单价：,"
				                【信息时间：2019-11-19】【字号 "
梁平区仁贤镇沙河桥至礼让镇川西桥段农村联网公路改建工程中标结果公告,"
                  ","
                  ",,"
				                【信息时间：2019-11-20】【字号 "
新南路绿化恢复工程中标结果公告,重庆临空都市基础设施建设运营有限公司,,,"
				                【信息时间：2019-11-20】【字号 "
开州区大进镇中心卫生院改扩项目中标结果公告,重庆市开州区大进镇中心卫生院,重庆铭扬建设有限公司,24461966.21,"
				                【信息时间：2019-11-20】【字号 "
重庆开州浦里新区新型城镇化综合建设项目（一期）-G211赵家至长沙公路改造工程－浦万大道（高桥村至古迹村段）中标结果公告,招标代理机构：,重庆建工市政交通工程有限责任公司,58810583.54 ,"
				                【信息时间：2019-11-20】【字号 "
川维生活区物业整改项目施工监理中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-21】【字号 "
垫江县高安镇檬子桥至垫忠高速路出口段道路改造工程中标结果公告,招标代理公司,重庆市圣隆建筑工程有限公司,569.55695,"
				                【信息时间：2019-11-21】【字号 "
临空智能终端标准厂房（三期）3号厂房装修项目中标结果公告,重庆空港经济开发建设有限公司,重庆市盛世华建筑工程有限公司,499.089937,"
				                【信息时间：2019-11-21】【字号 "
2019年第一批黔江区大中型水库移民后期扶持项目（第二次）一标段中标结果公告,重庆市黔江区润民农村水利工程有限公司,四川盛锋建筑工程有限公司,641.65,"
				                【信息时间：2019-11-21】【字号 "
2019年第一批黔江区大中型水库移民后期扶持项目（第二次）二标段中标结果公告,重庆市黔江区润民农村水利工程有限公司,四川盛锋建筑工程有限公司,641.65,"
				                【信息时间：2019-11-21】【字号 "
重庆市开州区满月乡卫生院迁建工程监理中标结果公告,重庆市开州区满月乡卫生院,重庆智能工程监理有限公司,工程施工结算投资额的,"
				                【信息时间：2019-11-21】【字号 "
忠县乌杨街道五岭村农村移民安置区精准帮扶项目中标结果公告,招标代理机构：,重庆文童路桥工程有限公司,792.713317,"
				                【信息时间：2019-11-21】【字号 "
重庆市璧山区实验小学永嘉校区建设工程施工监理中标结果公告,招标代理机构：,重庆大地建设监理有限责任公司,,"
				                【信息时间：2019-11-22】【字号 "
黔江区城西石峡及望城路污水管网建设项目中标结果公告,招标代理机构：华春建设工程项目管理有限责任公司,重庆固胜建设工程有限公司,515.275874,"
				                【信息时间：2019-11-22】【字号 "
开州区金峰镇雨污分流改造项目设计拟中标结果公示表,招标代理机构：,重庆华筑建筑设计集团有限公司,《工程勘察设计收费管理规定》（计价格〔,"
				                【信息时间：2019-11-22】【字号 "
奉节县2019年农村饮水安全巩固提升工程中标结果公告,奉节县水利工程管理站,四川省天磊迅建筑工程有限公司,537.237668,"
				                【信息时间：2019-11-22】【字号 "
潼南大佛坝-双江古镇片区旅游扶贫建设项目一期蔬菜公园入口景观工程(EPC)中标结果公告,招标代理机构：,河南坤宇市政园林工程有限公司,3044,"
				                【信息时间：2019-11-25】【字号 "
重庆市北碚区妇幼保健院建设项目设计（第二次）中标结果公告,招标代理机构（单位名称）：,,80,"
				                【信息时间：2019-11-25】【字号 "
巴南区农旅融合项目（大寨路升级改造工程、双寨路升级改造工程）勘察设计中标结果公告,重庆市巴南公路建设有限公司,陕西德力工程设计有限公司,218,"
				                【信息时间：2019-11-25】【字号 "
奉节县安坪镇小治村集中安置点基础设施和公共服务设施建设工程中标结果公告,奉节县安坪镇人民政府,重庆市锦学建筑工程有限公司,208.754283,"
				                【信息时间：2019-11-25】【字号 "
黔江区河滨西路西段及中段污水管网建设项目中标结果公告,招标代理机构：重庆向远招标代理有限公司,郑州新兴市政工程有限公司,812.354645,"
				                【信息时间：2019-11-25】【字号 "
开县工业园区临港移民生态园余家坝市政道路及综合管网工程中标结果公告,重庆开州浦里建设开发有限公司,   ,,"
				                【信息时间：2019-11-25】【字号 "
两路组团C标准分区C27-1/04、C28-1-1/04号地块售房部及样板房软装供货及服务的中标结果公示,,,,"
				                【信息时间：2019-11-25】【字号 "
鲁渝协作（开州）现代农业产业园建设项目—多种栽培模式、物联网及智能控制系统等中标结果公告,重庆市开州区农业农村委员会,（牵头人）四川伟宸建筑工程有限公司、寿光泽康农业科技有限公司,360.822819,"
				                【信息时间：2019-11-26】【字号 "
开州区三合场镇雨污分流改造项目中标结果公告,招标代理机构：,重庆建工第四建设有限责任公司,3229.460469 ,"
				                【信息时间：2019-11-26】【字号 "
长寿区东新村片区农村饮水安全巩固提升工程勘察设计中标结果公告,"
      ","
      ",,"
				                【信息时间：2019-11-26】【字号 "
长寿区但渡片区农村饮水安全巩固提升工程勘察设计中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-11-26】【字号 "
物流园区东北片区1、2、3号市政道路工程中标结果公告,秀山华渝物流投资有限公司  ,重庆城建控股（集团）有限责任公司,1259.240357,"
				                【信息时间：2019-11-26】【字号 "
奉节县2019年鹤峰乡四好农村路通组公路工程中标结果公告,奉节县鹤峰乡人民政府,四川亿志建筑工程有限公司,3106325.00,"
				                【信息时间：2019-11-26】【字号 "
歌乐山镇梨新公路接厦成线路口加宽改造工程中标结果公告,得分,,,"
				                【信息时间：2019-11-26】【字号 "
2019年四好农村路（井口镇南溪村）路面改造工程中标结果公告,得分,,,"
				                【信息时间：2019-11-26】【字号 "
鱼洞污水处理厂一期底部曝气改造工程设备采购项目的中标结果公示,重庆市三峡水务巴南排水有限责任公司,,,"
				                【信息时间：2019-11-26】【字号 "
长寿区圣天公园绿化景观工程EPC总承包项目中标结果公告,"
      ","
      ",,"
				                【信息时间：2019-11-27】【字号 "
长寿区新市片区农村饮水安全巩固提升工程勘察设计中标结果公告,"
      ","
      ",,"
				                【信息时间：2019-11-27】【字号 "
开州区2018年防护栏安装工程（二标段）中标结果公告,招标代理机构：,重庆凌源建设集团有限公司,1973.5722,"
				                【信息时间：2019-11-27】【字号 "
巴南区木洞镇庙垭村农村移民安置区精准帮扶项目中标结果公告,招标代理机构：,河南金铭源建设工程有限公司,1335.0116,"
				                【信息时间：2019-11-27】【字号 "
麻柳嘴镇回龙寺村农村移民安置区精准帮扶项目中标结果公告,招标代理机构：,河南金铭源建设工程有限公司,1335.0116,"
				                【信息时间：2019-11-27】【字号 "
重庆奉节白帝镇实施规划与建筑风貌改造规划中标结果公告,重庆奉节生态旅游开发有限公司,北京土人城市规划设计股份有限公司,199.000000,"
				                【信息时间：2019-11-27】【字号 "
奉节县永乐镇白龙村饮水安全巩固提升工程中标结果公告,重庆奉节水电开发有限公司,四川云吉建筑工程有限公司,713.460638,"
				                【信息时间：2019-11-27】【字号 "
重庆市渝中区马鞍山传统风貌区项目（西区）-人民路175号楼修缮工程、马鞍山村47号楼修缮工程中标结果公告,招标代理机构：,四川巴山建设有限公司,339.559099,"
				                【信息时间：2019-11-28】【字号 "
垫江县东部片区新型城镇化PPP项目第三方专项质量检测中标结果公告,招标代理机构：四川大家工程项目管理有限公司,重庆佳维建设工程质量检测有限公司,投标包干费率,"
				                【信息时间：2019-11-28】【字号 "
渝北区城市车行桥桥梁护栏专项整治项目中标结果公告,重庆市渝北区龙溪市政环境卫生管理所,四川苍龙公路桥梁工程有限公司,714.478821,"
				                【信息时间：2019-11-28】【字号 "
潼南中学综合教学楼多功能厅及小会议室室内装修工程中标结果公告,重庆市潼南中学校,重庆市恒旭实业集团有限公司,173,"
				                【信息时间：2019-11-28】【字号 "
忠县乌杨街道将军村农村移民安置区精准帮扶项目中标结果公告,忠县人民政府乌杨街道办事处,             ,858.330740,"
				                【信息时间：2019-11-28】【字号 "
重庆自然博物馆和北碚区公安消防支队职工周转住房项目中标结果公告,招标代理机构：,重庆坤飞建设（集团）有限公司,5908,"
				                【信息时间：2019-11-28】【字号 "
