Can you add modin package to load the data faster into pandas?,Adam Louly,contributor,19,12,Murat Korkmaz,expert,67,63,
Is it allowed in this competition?,YouHan Lee,expert,310,284,Khoi Nguyen,master,186,170,
How to become a Kernels Master ?,Tarun Sriranga Paparaju,expert,155,135,Andrew Lukyanenko,grandmaster,757,740,
Which should I Use,Lidhish ,novice,2,1,Mayank kestwal,contributor,24,12,
Can not add train dataset to kaggle kernels,Shuting Xiao,novice,5,2,Qian Zhao,contributor,2,2,
A Review Of Synthetic Data,Garik,contributor,28,24,Arjun Chandrababu,contributor,50,48,
Landmark_Id 138982 in train data,Alexander Kashintsev,contributor,3,2,Benjamin May,novice,2,2,
Defining variables,Ben G,novice,1,0,lukebyrne,novice,39,37,
####### 25th, Disqualified, ask for review,RunningZ,expert,100,90,Strideradu,master,340,309,
anybody can contribute a CV model?,TbcFighter,novice,10,7,Jianfei Wang,expert,267,255,
File not found,Miles Reid,novice,4,3,Ian Catindig,staff,291,289,
competition + platform suggestions from Kaggle Days SF,small yellow duck,master,70,54,Peter Hurford,master,498,474,
Cheat Sheet for all the Data Fields!!!,Roshan Sharma,expert,164,156,EmilyBocim,contributor,1,1,
CareerCon 2019 Slack Issue,Michael Shoemaker,contributor,27,20,Camorales,novice,2,2,
Cannot submit file from inference kernel if the dataset comes from a kernel,ilovescience,contributor,56,47,Manoj Plakal,novice,26,24,
65th-Place Simple Solution Without Using Data Leakage,Ammar Alyousfi,contributor,24,17,dhaqui the kaggler,expert,118,117,
Stage 2 file name?,StevenTMHsu德明,expert,45,37,Yury Kashnitsky,master,330,304,
Best Practices for CV,Dalton Hall,expert,91,87,senkin13,master,97,95,
How to become a Kernels Master ?,Tarun Sriranga Paparaju,expert,155,135,Satyam,contributor,3,2,
Which should I Use,Lidhish ,novice,2,1,Lidhish ,novice,2,1,
Can not add train dataset to kaggle kernels,Shuting Xiao,novice,5,2,BigIronSphere,contributor,70,64,
The train.csv on CVDF page is different from the one published on kaggle ,Nikolay Shebanov,master,69,63,Sachin Guruswamy,novice,1,1,
And the prize goes to... Amazon MT (hand-labeling issue),Yury Kashnitsky,master,330,304,SRK,grandmaster,347,314,
Approach to saving and versions in kernels,Joe Bender,contributor,4,2,Joe Bender,contributor,4,2,
####### 25th, Disqualified, ask for review,RunningZ,expert,100,90,Xuan Cao,master,156,144,
Is offline training on competition data allowed?,Khoi Nguyen,master,186,170,Julia Elliott,staff,251,205,
File not found,Miles Reid,novice,4,3,Miles Reid,novice,4,3,
competition + platform suggestions from Kaggle Days SF,small yellow duck,master,70,54,Erick Galinkin,contributor,3,3,
Cheat Sheet for all the Data Fields!!!,Roshan Sharma,expert,164,156,Alexander Butakov,expert,149,139,
CareerCon 2019 Slack Issue,Michael Shoemaker,contributor,27,20,Greg Hamel,expert,40,37,
Cannot submit file from inference kernel if the dataset comes from a kernel,ilovescience,contributor,56,47,oct_path,contributor,1,1,
Failed submissions due to misspelled file names in 'Id' column,Pradeep Kondamuri,novice,1,0,Richa,novice,1,1,
Stage 2 file name?,StevenTMHsu德明,expert,45,37,StevenTMHsu德明,expert,45,37,
Resampling signal,Hein,novice,5,4,Michael Ganger,contributor,2,2,
A question about using multiple kernel .,EvilPsycho,contributor,20,17,Shahebaz,master,481,431,
Best Practices for CV,Dalton Hall,expert,91,87,Branden Murray,grandmaster,365,355,
Which should I Use,Lidhish ,novice,2,1,Thomas,contributor,1,1,
Stage 2 test data size,Tarun Sriranga Paparaju,expert,155,135,Yury Kashnitsky,master,330,304,
The train.csv on CVDF page is different from the one published on kaggle ,Nikolay Shebanov,master,69,63,Jiwei Liu,grandmaster,1105,992,
And the prize goes to... Amazon MT (hand-labeling issue),Yury Kashnitsky,master,330,304,abzaliev,expert,15,13,
How to prepare a kernel for running on private test set,Joe Bender,contributor,4,2,Julia Elliott,staff,251,205,
####### 25th, Disqualified, ask for review,RunningZ,expert,100,90,RunningZ,expert,100,90,
Is offline training on competition data allowed?,Khoi Nguyen,master,186,170,Dieter,master,433,397,
Public Dataset Presentation in Notebooks,Bob Smith,contributor,4,3,Paul Mooney,staff,1057,1022,
competition + platform suggestions from Kaggle Days SF,small yellow duck,master,70,54,Ian Catindig,staff,291,289,
Cheat Sheet for all the Data Fields!!!,Roshan Sharma,expert,164,156,cyshen11,contributor,1,1,
CareerCon 2019 Slack Issue,Michael Shoemaker,contributor,27,20,YamirEncarnacion,novice,1,1,
Beginner question about error message from ranger function,Stefano,novice,2,1,Ben Tesch,contributor,8,6,
Organizing my own kernels,Tom Bu,contributor,10,3,Jim Plotts,staff,82,80,
New Kernels Never Finish Loading on Private Dataset,Brett Kurzawa,contributor,4,2,Nanashi,expert,230,186,
Will the actual times for the test files eventually become available?,Bart van Laatum,novice,1,0,BigIronSphere,contributor,70,64,
Resampling signal,Hein,novice,5,4,Eyas Taifour,contributor,6,5,
A question about using multiple kernel .,EvilPsycho,contributor,20,17,Pepito Bleu,expert,44,41,
Stage 1 Ended. Stage 2 Dataset Pending.,Julia Elliott,staff,251,205,Tianqi Wang,expert,6,6,
Which should I Use,Lidhish ,novice,2,1,Guilherme Paiva,novice,1,1,
HOW did you find magic features?,higepon,contributor,28,24,CPMP,grandmaster,4678,4447,
best python reference,StoneGroove,contributor,2,1,Keaten Fox,contributor,2,2,
And the prize goes to... Amazon MT (hand-labeling issue),Yury Kashnitsky,master,330,304,Panos,master,104,94,
How to prepare a kernel for running on private test set,Joe Bender,contributor,4,2,EvilPsycho,contributor,20,17,
Public Dataset Presentation in Notebooks,Bob Smith,contributor,4,3,Bob Smith,contributor,4,3,
competition + platform suggestions from Kaggle Days SF,small yellow duck,master,70,54,Rashidul Hasan Hridoy,contributor,40,35,
Notes from a Related Paper,Ammar Alyousfi,contributor,24,17,Vishal Sharma,contributor,44,44,
CareerCon 2019 Slack Issue,Michael Shoemaker,contributor,27,20,Michael Shoemaker,contributor,27,20,
41th place (without using data leakage!),Sergey K.,contributor,4,3,Costa.Medvedev,contributor,60,53,
Can we extract LaTex information from this dataset,Anna Shang,novice,1,0,Rachael Tatman,staff,1773,1743,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,Luca Massaron,master,72,62,
New Data Visualisation Course in Kaggle Learn ,Siva Sai Kumar Reddy,novice,2,0,Tomie Weaver,novice,2,2,
Resampling signal,Hein,novice,5,4,Hein,novice,5,4,
Cancel Commit doesn't work,Shruti_Iyyer,expert,91,81,Akash Ravichandran,contributor,70,60,
Stage 1 Ended. Stage 2 Dataset Pending.,Julia Elliott,staff,251,205,Naruhiko Nakanishi,contributor,22,21,
Blackjack simple strategy,Paul Bruynel,novice,1,0,Artyom Bochkarev,novice,1,1,
HOW did you find magic features?,higepon,contributor,28,24,Felipe Mello,expert,139,129,
best python reference,StoneGroove,contributor,2,1,kageyama,contributor,36,32,
And the prize goes to... Amazon MT (hand-labeling issue),Yury Kashnitsky,master,330,304,Hikkiiiiiiiii,expert,61,55,
Python,Vaishnavi Ambati,novice,2,1,Filippos Rokos,novice,1,1,
Public Dataset Presentation in Notebooks,Bob Smith,contributor,4,3,Bob Smith,contributor,4,3,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,synergy37ai,expert,320,306,
Notes from a Related Paper,Ammar Alyousfi,contributor,24,17,solved,novice,1,1,
CareerCon 2019 Slack Issue,Michael Shoemaker,contributor,27,20,Camorales,novice,2,2,
A summary of #18's solution,Christian Sims,novice,8,7,LongYin,expert,514,498,
41th place (without using data leakage!),Sergey K.,contributor,4,3,Eugene Krevenets,contributor,3,3,
Downsampling,James Conley,novice,1,0,James Requa,expert,94,90,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,Thomas Nelson,expert,114,101,
New Data Visualisation Course in Kaggle Learn ,Siva Sai Kumar Reddy,novice,2,0,Vaishnavi Ambati,novice,2,1,
Solution Files Uploaded,Addison Howard,staff,470,398,AlphaDrivers,novice,12,12,
What's the shown score after competition ends,Mekaveli.,expert,139,118,dhaqui the kaggler,expert,118,117,
Stage 1 Ended. Stage 2 Dataset Pending.,Julia Elliott,staff,251,205,Tarun Sriranga Paparaju,expert,155,135,
Blackjack simple strategy,Paul Bruynel,novice,1,0,Keaten Fox,contributor,2,2,
HOW did you find magic features?,higepon,contributor,28,24,interneuron,master,349,343,
best python reference,StoneGroove,contributor,2,1,Akash Ravichandran,contributor,70,60,
And the prize goes to... Amazon MT (hand-labeling issue),Yury Kashnitsky,master,330,304,ubik,master,12,12,
Python,Vaishnavi Ambati,novice,2,1,k mcclomitz,contributor,12,11,
Kernel medal not working?,Luca Basanisi,expert,328,310,Nanashi,expert,230,186,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,senkin13,master,97,95,
Career Path,Atif Shahab,novice,1,0,Umair Ansari,contributor,8,7,
How to prepare for coding test for Data Scientist job interview?,synergy37ai,expert,320,306,Valera Lobov,contributor,21,21,
A summary of #18's solution,Christian Sims,novice,8,7,CoreyLevinson,master,641,611,
41th place (without using data leakage!),Sergey K.,contributor,4,3,Prashanth Thangavel,expert,90,85,
Downsampling,James Conley,novice,1,0,daisukelab,expert,165,155,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,wjsheng,contributor,51,48,
Never give up ! (157th),Francisco Lopez,contributor,3,2,seefun,expert,39,38,
Solution Files Uploaded,Addison Howard,staff,470,398,Ed Salinas,contributor,5,5,
Features from dataset,Alena Arykina,contributor,10,9,Denis Mikheev,novice,11,10,
Automatically check missing values in dataset,Alexander Butakov,expert,149,139,Rashidul Hasan Hridoy,contributor,40,35,
HOW did you find magic features?,higepon,contributor,28,24,Optimo,expert,4,4,
best python reference,StoneGroove,contributor,2,1,StoneGroove,contributor,2,1,
And the prize goes to... Amazon MT (hand-labeling issue),Yury Kashnitsky,master,330,304,Andrey,master,4,4,
Cannot upload the Submission file ,shanaka,novice,5,2,David Prendergast,novice,3,3,
Kernel medal not working?,Luca Basanisi,expert,328,310,Luca Basanisi,expert,328,310,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,Jiwei Liu,grandmaster,1105,992,
Career Path,Atif Shahab,novice,1,0,Scirpus,grandmaster,1313,1188,
How to prepare for coding test for Data Scientist job interview?,synergy37ai,expert,320,306,Rahul,novice,10,10,
A summary of #18's solution,Christian Sims,novice,8,7,Murat Korkmaz,expert,67,63,
Highest PublicLB Kernel posted (#29 Solution),Rajanikant Tenguria,contributor,22,21,Eric R,contributor,18,16,
Downsampling,James Conley,novice,1,0,Pierre Tisseur,expert,41,29,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,Giba,grandmaster,606,573,
Never give up ! (157th),Francisco Lopez,contributor,3,2,dhaqui the kaggler,expert,118,117,
Solution Files Uploaded,Addison Howard,staff,470,398,Addison Howard,staff,470,398,
Features from dataset,Alena Arykina,contributor,10,9,Volodymyr Bakhur,contributor,3,3,
Kernel draft session frozen on Queued,Mag Amine,novice,3,2,Mag Amine,novice,3,2,
Automatically check missing values in dataset,Alexander Butakov,expert,149,139,Alexander Butakov,expert,149,139,
HOW did you find magic features?,higepon,contributor,28,24,Ernesto Budia,expert,5,4,
Is competitive programming skill is necessary for data science?,Rashidul Hasan Hridoy,contributor,40,35,Roshan Sharma,expert,164,156,
Sharing high-score kernels until the end of Stage 2?!,Moradnejad,expert,87,76,Yury Kashnitsky,master,330,304,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,30CrMnSiA,grandmaster,117,107,
Career Path,Atif Shahab,novice,1,0,Thomas Nelson,expert,114,101,
How to prepare for coding test for Data Scientist job interview?,synergy37ai,expert,320,306,Nanashi,expert,230,186,
A summary of #18's solution,Christian Sims,novice,8,7,Psi,expert,231,227,
Doubt,zhuangzhuang hong,novice,7,1,TK,contributor,31,27,
Only 14950 categories?,Simon Caby,novice,12,8,old-ufo,master,139,126,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,Tilii,grandmaster,1399,1311,
Never give up ! (157th),Francisco Lopez,contributor,3,2,LongYin,expert,514,498,
Solution Files Uploaded,Addison Howard,staff,470,398,Ed Salinas,contributor,5,5,
Features from dataset,Alena Arykina,contributor,10,9,Yakin,contributor,41,32,
Kernel draft session frozen on Queued,Mag Amine,novice,3,2,Mag Amine,novice,3,2,
Will there be a ’Strong' baseline?,Ethan,novice,1,0,Haiwen,novice,1,1,
Some details in the competition,DHTT,contributor,23,22,Timmmmmms,contributor,76,71,
Is competitive programming skill is necessary for data science?,Rashidul Hasan Hridoy,contributor,40,35,aditiyad,contributor,2,2,
Rate your teammates,MichaelP,master,220,208,A.Barqawi,expert,84,71,
Understanding Deep Learning,Shahrin Amin,contributor,1,0,Chris Deotte,master,1403,1382,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,Giba,grandmaster,606,573,
Career Path,Atif Shahab,novice,1,0,Alexander Kireev,expert,192,184,
How to prepare for coding test for Data Scientist job interview?,synergy37ai,expert,320,306,Venkata Sravan Kanukolanu,contributor,7,7,
A summary of #18's solution,Christian Sims,novice,8,7,YaGana Sheriff-Hussaini,expert,1535,1485,
Doubt,zhuangzhuang hong,novice,7,1,Christian Sims,novice,8,7,
Only 14950 categories?,Simon Caby,novice,12,8,Andre Araujo,novice,24,20,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,Tilii,grandmaster,1399,1311,
Never give up ! (157th),Francisco Lopez,contributor,3,2,Leidongbao,contributor,5,4,
How to tune hyperparameters faster ?,Mayank kestwal,contributor,24,12,dhaqui the kaggler,expert,118,117,
Now you can move your cell up and down!,maruispace,novice,4,3,maruispace,novice,4,3,
Kernel & Forum Moderation - New Report System,Myles O'Neill,staff,529,521,Paco Diaz,expert,31,29,
Some details in the competition,DHTT,contributor,23,22,Eric Vos,expert,89,85,
CVSSP baseline code available,cvssp_baseline,novice,2,1,Toukenize,expert,56,55,
Question about the mean F1-score,Charles,novice,1,0,Raleigh Han,novice,2,1,
How do you determine your CV score?,Frank Puk,contributor,149,135,Dalton Hall,expert,91,87,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,Xuan Cao,master,156,144,
Career Path,Atif Shahab,novice,1,0,Paco Diaz,expert,31,29,
Approach pre-trained deep learning models with caution,Frank Puk,contributor,149,135,Baba Firas,contributor,89,74,
Archives with the old data on Google Drive,Natalia Pavlovskaia,contributor,6,5,dhaqui the kaggler,expert,118,117,
NN question input shape ,AmirH,expert,315,277,Kun Hao Yeh,master,110,105,
Only 14950 categories?,Simon Caby,novice,12,8,PC Jimmmy,expert,296,288,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,Roman,expert,70,62,
Getting started in the field,Madeline Glass,novice,1,0,k mcclomitz,contributor,12,11,
How to tune hyperparameters faster ?,Mayank kestwal,contributor,24,12,Ouassim Adnane,expert,249,191,
The real winner of this competition is yag320,kunata,contributor,5,4,YaG320,master,17,16,
Kernel & Forum Moderation - New Report System,Myles O'Neill,staff,529,521,Shahebaz,master,481,431,
Part-time data science projects - We need your opinion!,Datacentric,contributor,6,5,Datacentric,contributor,6,5,
CVSSP baseline code available,cvssp_baseline,novice,2,1,iamkhader,contributor,20,20,
Why my solution did not work?,Kamal Chhirang,expert,148,130,Chris Deotte,master,1403,1382,
How do you determine your CV score?,Frank Puk,contributor,149,135,senkin13,master,97,95,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,uuulearn,master,8,8,
My Kaggle kernel is getting refreshed after every second.The moment I try to write in kernel cell it gets refreshed.Please  help me in resolving the  the issue .Thanks in advance,shahsank kumar mishra,novice,5,2,Ilya Khristoforov,expert,293,273,
Can Random Erase method improve results,suyukun,contributor,14,11,seefun,expert,39,38,
Archives with the old data on Google Drive,Natalia Pavlovskaia,contributor,6,5,JohnsonTang,novice,13,13,
NN question input shape ,AmirH,expert,315,277,Chris Deotte,master,1403,1382,
Inconsistent Sampling Times?,Ilu,expert,193,189,nosound,expert,30,28,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,AmirH,expert,315,277,
Next Competition? ,James Hewitson,contributor,24,18,FSBDS_AndréMarquesLeite,contributor,14,14,
The real winner of this competition is yag320,kunata,contributor,5,4,CPMP,grandmaster,4678,4447,
Kernel & Forum Moderation - New Report System,Myles O'Neill,staff,529,521,CPMP,grandmaster,4678,4447,
Landsize smaller than building area?,Boukari Yameogo,novice,2,1,Tony Pino,contributor,34,33,
CVSSP baseline code available,cvssp_baseline,novice,2,1,Akash Ravichandran,contributor,70,60,
Python code behind the first image of Black Hole,Pritesh Shrivastava,contributor,109,107,dhaqui the kaggler,expert,118,117,
How do you determine your CV score?,Frank Puk,contributor,149,135,Andrew Lukyanenko,grandmaster,757,740,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,LongYin,expert,514,498,
Is this process permitted in this competition?,YouHan Lee,expert,310,284,Neuron Engineer,expert,251,238,
Can Random Erase method improve results,suyukun,contributor,14,11,fudashuai,novice,1,1,
Archives with the old data on Google Drive,Natalia Pavlovskaia,contributor,6,5,shentaowang,novice,1,1,
OrthogonalMatchingPursuitCV   84.2 LassoCV  83.6 ElasticNetCV 83.0 BayesianRidge 73.4,zhaoyun0071,novice,1,0,的撒大去,novice,1,1,
Inconsistent Sampling Times?,Ilu,expert,193,189,Hein,novice,5,4,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,CPMP,grandmaster,4678,4447,
Next Competition? ,James Hewitson,contributor,24,18,kageyama,contributor,36,32,
The real winner of this competition is yag320,kunata,contributor,5,4,Moradnejad,expert,87,76,
Kernel & Forum Moderation - New Report System,Myles O'Neill,staff,529,521,Ilya Khristoforov,expert,293,273,
Help with Bayesian Inference,Suchi,novice,4,3,melondonkey,contributor,61,55,
CVSSP baseline code available,cvssp_baseline,novice,2,1,A.L.,master,304,264,
Python code behind the first image of Black Hole,Pritesh Shrivastava,contributor,109,107,Roshan Sharma,expert,164,156,
How do you determine your CV score?,Frank Puk,contributor,149,135,Noah Weber,expert,23,18,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,Sandhya Ravindran,novice,1,1,
Is this process permitted in this competition?,YouHan Lee,expert,310,284,jionie,expert,86,85,
Can Random Erase method improve results,suyukun,contributor,14,11,dhaqui the kaggler,expert,118,117,
Archives with the old data on Google Drive,Natalia Pavlovskaia,contributor,6,5,datasaurus,contributor,66,59,
3rd place solution (0.99) and Code,Prithvi,expert,11,9,Markus F,contributor,24,20,
1st place solution ,Salma,novice,4,3,raddar,grandmaster,618,581,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,Thomas Nelson,expert,114,101,
How to use CSV file?,oPen,novice,2,1,Jesús Utrera,contributor,5,4,
Prizes winners. Announcement of winners,Nanashi,expert,230,186,Ilham Firdausi Putra,contributor,20,19,
Kernel & Forum Moderation - New Report System,Myles O'Neill,staff,529,521,Andrew Lukyanenko,grandmaster,757,740,
Help with Bayesian Inference,Suchi,novice,4,3,Volodymyr Trotsiuk,contributor,2,2,
CVSSP baseline code available,cvssp_baseline,novice,2,1,Leo0523,contributor,4,4,
Need some advice,Pratyush,contributor,3,2,Anirban Dutta,contributor,9,8,
How do you determine your CV score?,Frank Puk,contributor,149,135,Frank Puk,contributor,149,135,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,spongebob,master,147,127,
Is this process permitted in this competition?,YouHan Lee,expert,310,284,Paco Diaz,expert,31,29,
Can Random Erase method improve results,suyukun,contributor,14,11,A.L.,master,304,264,
Answer to "Leak vs Magic" debate,Roman,expert,70,62,Shize Su,grandmaster,192,177,
3rd place solution (0.99) and Code,Prithvi,expert,11,9,mvaidhyg,novice,10,10,
1st place solution ,Salma,novice,4,3,Raimo Haikari,novice,4,4,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,YaGana Sheriff-Hussaini,expert,1535,1485,
17th Place. Lessons learned.,Costa.Medvedev,contributor,60,53,dhaqui the kaggler,expert,118,117,
Prizes winners. Announcement of winners,Nanashi,expert,230,186,Chenghao Luo,novice,15,13,
Kernel & Forum Moderation - New Report System,Myles O'Neill,staff,529,521,Moshel,expert,400,355,
Azure ML Studio,Ivan Casana,novice,3,0,RickBinkley,novice,5,5,
CVSSP baseline code available,cvssp_baseline,novice,2,1,Maxwell,master,81,76,
Need some advice,Pratyush,contributor,3,2,Nanashi,expert,230,186,
Object detection methods,suyukun,contributor,14,11,cvmanman,novice,1,1,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,interneuron,master,349,343,
New Zealand Solar irradiation dataset,Mohan Bettadpura,novice,2,1,Mansi,novice,1,1,
Can Random Erase method improve results,suyukun,contributor,14,11,五行缺钱,expert,15,11,
Answer to "Leak vs Magic" debate,Roman,expert,70,62,Lukasz Grad,master,87,84,
3rd place solution (0.99) and Code,Prithvi,expert,11,9,swagatron,contributor,75,71,
1st place solution ,Salma,novice,4,3,CoreyLevinson,master,641,611,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,Ilya Khristoforov,expert,293,273,
17th Place. Lessons learned.,Costa.Medvedev,contributor,60,53,swagatron,contributor,75,71,
Kernel & Forum Moderation - New Report System,Myles O'Neill,staff,529,521,Peter,contributor,4,4,
cast 1 upvote - how to earn it?,Rashidul Hasan Hridoy,contributor,40,35,MichaelP,master,220,208,
Tensorflow basics ,LuisRobertoJácomeGalarza,contributor,5,3,fulitai Chen,contributor,1,1,
Need some advice,Pratyush,contributor,3,2,KOEgbo,novice,1,1,
Could not reserve memory block,StevenTMHsu德明,expert,45,37,Andrey,master,4,4,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,chizhu,master,68,61,
Can we save the after-training result?,TbcFighter,novice,10,7,Aditya Prakash,contributor,3,3,
kaggle email:This invite link is no longer active.,Chenghao Luo,novice,15,13,Ilham Firdausi Putra,contributor,20,19,
Answer to "Leak vs Magic" debate,Roman,expert,70,62,Chris Deotte,master,1403,1382,
3rd place solution (0.99) and Code,Prithvi,expert,11,9,Chenghao Luo,novice,15,13,
Compact description of the competition problem(958th place),devin,master,503,468,swagatron,contributor,75,71,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,A.Barqawi,expert,84,71,
Beginner kernel - step by step,Rodrigo Accurso,contributor,4,3,Bruno Aldo Lunardi,contributor,8,7,
Kernel & Forum Moderation - New Report System,Myles O'Neill,staff,529,521,Rashidul Hasan Hridoy,contributor,40,35,
What are your CV/LB scores?,Aditya Vyas,expert,301,276,Eric R,contributor,18,16,
How do you use machine learning in private?,kageyama,contributor,36,32,Rita sharma,novice,8,8,
Some thoughts on this competition,Mark,novice,4,3,Ilham Firdausi Putra,contributor,20,19,
Could not reserve memory block,StevenTMHsu德明,expert,45,37,Chun-Chao Lo,contributor,4,4,
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,304,264,Rollan Sapyshev,novice,2,2,
Is your LB score made by model which is trained in only-kernel?,YouHan Lee,expert,310,284,Costas Voglis,master,38,36,
what's wrong with Santander Customer Transaction Prediction,spongebob,master,147,127,Rashidul Hasan Hridoy,contributor,40,35,
Answer to "Leak vs Magic" debate,Roman,expert,70,62,Giba,grandmaster,606,573,
3rd place solution (0.99) and Code,Prithvi,expert,11,9,Rajanikant Tenguria,contributor,22,21,
Compact description of the competition problem(958th place),devin,master,503,468,mvaidhyg,novice,10,10,
How do we optimize GBM hyperparameters?,Chris Deotte,master,1403,1382,CFPK,contributor,42,39,
Eligible statistical software (Python, R, SAS, Stata..),AndreaContardi,novice,1,0,Panos,master,104,94,
Is 0.00 actually possible through code? ,Rohit Midha,contributor,10,7,Rajab,novice,2,2,
How to interpret the leaderboard? Rank 273 Axiom  is Rank 1 ?,PrasunMishra,expert,44,33,Rohit Midha,contributor,10,7,
Is training in kernel enough without local gpus?,Chris.Y,novice,8,7,suyukun,contributor,14,11,
Some thoughts on this competition,Mark,novice,4,3,Alexander Abstreiter,contributor,2,2,
Could not reserve memory block,StevenTMHsu德明,expert,45,37,Ram Ramrakhya,expert,77,64,
Result seems finalized, check your profile!,Strideradu,master,340,309,Akash Ravichandran,contributor,70,60,
Is your LB score made by model which is trained in only-kernel?,YouHan Lee,expert,310,284,NathanHubens,contributor,7,6,
Why is it ineffective to oversample and remove outliers?,lh123,novice,4,2,Eric R,contributor,18,16,
Answer to "Leak vs Magic" debate,Roman,expert,70,62,Chris Deotte,master,1403,1382,
3rd place solution (0.99) and Code,Prithvi,expert,11,9,mvaidhyg,novice,10,10,
Compact description of the competition problem(958th place),devin,master,503,468,Rajanikant Tenguria,contributor,22,21,
Dict data extraction vectorized solution? ,Bruno Aldo Lunardi,contributor,8,7,Hugh Wright,contributor,4,3,
My Guidelines and tips for teaming up the right way,AmirH,expert,315,277,MichaelP,master,220,208,
Is 0.00 actually possible through code? ,Rohit Midha,contributor,10,7,Moradnejad,expert,87,76,
How to interpret the leaderboard? Rank 273 Axiom  is Rank 1 ?,PrasunMishra,expert,44,33,Yury Kashnitsky,master,330,304,
Is training in kernel enough without local gpus?,Chris.Y,novice,8,7,Konrad Banachewicz,master,951,908,
