{'content': '这个东西确实好，下次还买', 'productId': '37603225476'}
{'content': '给妈妈和婆婆各买了一盒，美容养颜的宝贝，颜值超高，妈妈婆婆和我一样都喜欢这些精致漂亮的东西嘻嘻，妈妈和婆婆都很喜欢，好评', 'productId': '25413276248'}
{'content': '买来送女朋友的，她身体比较弱，气色不太好，看到这个还有富硒的功能，能增强免疫力，女朋友很喜欢，包装很精美', 'productId': '25413276248'}
{'content': '非常好，包装很好看还有礼品袋，符合我想要的，送礼不掉面子，女士应该都会喜欢这种养颜产品，有需要再来', 'productId': '25413276248'}
{'content': '玫瑰茶泡出来的味道很好喝，纯纯玫瑰花味道～一小玻璃瓶里有一天2朵，应该也能喝一个月左右～其实还算正常可以接受范围，好看又好喝，可以调理月经，淡化色斑', 'productId': '25413276248'}
{'content': '孩子们喜欢大朵的玫瑰花，还没饮用', 'productId': '25413276248'}
{'content': '此用户未填写评价内容', 'productId': '37603225476'}
{'content': '不知什么原因一半以上都是坏的，上当了', 'productId': '15912582122'}
{'content': '味道不错，很满意的一吃购物', 'productId': '15912582122'}
{'content': '皮很薄，里面很软糯，超级好吃。分量也很足，总体来说还是很满意的，有需要还会回购', 'productId': '15912582122'}
{'content': '味道不错，物流很快。物有所值。', 'productId': '25413276248'}
{'content': '此用户未填写评价内容', 'productId': '25413276248'}
{'content': '包装高大上，送盆友没问题', 'productId': '25413276248'}
{'content': '商品与描述相符，性价比高。客服态度好。', 'productId': '11574895447'}
{'content': '这次买的不少，看看性价比不错，收到打开后还是不错的，应该是洗过的，蛮干净的。', 'productId': '11574895447'}
{'content': '好，，，，，，，，，，，', 'productId': '11574895447'}
{'content': '剛收到，看上去不差，喝過後再作評論。', 'productId': '11574895447'}
{'content': '有一点不太愉快  一起下单的商品  结果分了两次寄出  但是订单没有显示两个包裹  只显示了一个  也没有单独提供单号  还得另外自己去问客服才知道的  希望能有所改进吧', 'productId': '11574895447'}
{'content': '好多好多！一大袋子，估计要喝到年底了！蛮干净的东西！推荐购买！', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '脏东西太多', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '很赞哦美味哦，赞赞赞赞赞赞', 'productId': '25744110028'}
{'content': '嗯嗯，不错，质量不错，买家放心，卖家贴心，赞一个！！！！', 'productId': '25744110028'}
{'content': '已经泡了一天才煮的了，但是为还是有股漂白水的味道，毕竟价钱这么便宜，也不能要求有多高的质量', 'productId': '25744110028'}
{'content': '竹荪一般吧，有点小，有破碎。价格便宜，性价比高，买三袋省一袋的价，还送了一袋笋衣和一个简易的漏勺', 'productId': '25744110028'}
{'content': '还没吃呢！看起来不错，先给五星，吃过再追评！', 'productId': '25744110028'}
{'content': '竹荪味道鲜美，营养丰富，品质好，价格实惠。', 'productId': '25744110028'}
{'content': '竹荪的质量不错，味道清香，用来煲汤很好喝。', 'productId': '25744110028'}
{'content': '长岭尖竹荪菌收到，包装完美，品质优秀，各类人土滋补佳品，美味健康，性价比高，值得购买。???', 'productId': '25744110028'}
{'content': '竹荪色泽自然，烧汤实用，口感浓郁，肉质滑嫩，非常鲜美，全家人都很爱吃，我们很满意', 'productId': '25744110028'}
{'content': '非常好，这个价格超实惠的，比超市便宜很多了，非常高兴的一次购物体验！', 'productId': '25744110028'}
{'content': '煮过银耳莲子羹才来评价的，质量好好的，老婆喜欢喝，谢谢', 'productId': '14056232133'}
{'content': '真是好货，感觉比超市的好，而且便宜又方便哦', 'productId': '14056232133'}
{'content': '物流太慢了，看这还好，应该能降火吧！日期很新鲜！', 'productId': '14056232133'}
{'content': '收到东西啦，包装还行，莲子有去芯。', 'productId': '14056232133'}
{'content': '莲子包装很好，质量也很好?用完下次再来买', 'productId': '14056232133'}
{'content': '京东平台商城购物放心！鲜烹烹官方旗舰店，发货速度快，品种齐全，赞一个！', 'productId': '14056232133'}
{'content': '为做腊八粥准备的，老妈很满意，全五星好评！！', 'productId': '14056232133'}
{'content': '莲子有点小，不过是手工去皮，蛮便宜实惠的。', 'productId': '14056232133'}
{'content': '挺好吃的，就是一袋子不是很多。', 'productId': '14056232133'}
{'content': '莲子好吃，', 'productId': '14056232133'}
{'content': '宝贝收到了，泡了一点，还不错，看不出是否用过添加剂，很方便，不出门就买到了需要的东西，赞一个。而且还有杯子送，老板很厚道。', 'productId': '11131947109'}
{'content': '第二次买了，上次买的就还可以，味醇厚，所以又买了，性价比也不错，店家还是送了杯子，很贴心，喝完再来。', 'productId': '11131947109'}
{'content': '金银花都是含苞待开的很好，之前一直在药店买饮片装，贵不说开花不开花混在一起且杂质多，试着京东一搜还真不错，货和图片上的一致，京东品质有保障，今后都在京东买了。', 'productId': '11131947109'}
{'content': '很好用的 送货快 选择京东没错的 有保障 东西好 便宜 第二天就能收到 所有东西都是在京东买的 便宜好用 保证质量', 'productId': '11131947109'}
{'content': '送货神速，价廉物美，新鲜干爽方便，清热的好东西，下次再来光顾。配送师傅给力、赞啊！', 'productId': '11131947109'}
{'content': '发货速度很快，质量不错，价格优惠，不错的一次购物，好评。', 'productId': '11131947109'}
{'content': '几十块买了一大袋，在小区门口药店买一小罐得好几十，值得购买', 'productId': '11131947109'}
{'content': '量大份足，非常不错的商品，下次还来，黑', 'productId': '11131947109'}
{'content': '不错，花挺大的，值得推荐&hellip;&hellip;', 'productId': '11131947109'}
{'content': '还不错，排毒，做花茶用。还没用。', 'productId': '11131947109'}
{'content': '没有预期的那么好，煲出来的汤不是很香。没有在市场买的味道香味浓郁', 'productId': '30980429908'}
{'content': '此用户未填写评价内容', 'productId': '30980429908'}
{'content': '收到宝贝、实在太好了、也绝对物有所值、快递神速更不用说，炒白木耳，凉拌黑木耳超级好吃?，原色原味、新鲜优质真是好食材，口感鲜嫩滑脆、味道鲜美、可素可荤、是家庭、宴席之美味菜肴、我还会继续买这全天然食用菌美美滴！', 'productId': '14031200044'}
{'content': '看评价不错，购了三大包，过节备货吧，满意满分', 'productId': '14031200044'}
{'content': '日期新鲜，价格实惠，用来炒肉火锅味道感觉棒极了。', 'productId': '14031200044'}
{'content': '鲜烹烹的老顾客啦，木耳看起来很小，水泡后量大，肉质厚实，叶形圆润，味道鲜美，买了2包可以吃一段时间了，物流超快，客服态度极好，五星好评', 'productId': '14031200044'}
{'content': '这店干货真心不错，黑木耳和其它菇菌质量很好，物流配送速度很快，快递小哥给力?', 'productId': '14031200044'}
{'content': '这黑木耳很不错啊，都是一颗一颗卷起来的，成色很好，这种小碗耳可以买。', 'productId': '14031200044'}
{'content': '很不错哦，和图片没差别，肉很厚，品质很好', 'productId': '14031200044'}
{'content': '给妈妈买的，说是还不错，等吃完再来评价。', 'productId': '14031200044'}
{'content': '产品收到了，是老鼠耳，质量不错，泡发以后乌黑发亮，泡发率也很高，一小搓能泡一大碗，看上去肉比别家的厚，买的挺值的。品牌的东西还是比较好。', 'productId': '14031200044'}
{'content': '您没有填写内容，默认好评', 'productId': '14031200044'}
{'content': '您没有填写内容，默认好评', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '看着不是太干净，杂志太多', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '货很快就到了，份量足，看起来不错，待泡了再来评价，应该不错！', 'productId': '11574895447'}
{'content': '您没有填写内容，默认好评', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '此用户未填写评价内容', 'productId': '11574895447'}
{'content': '好卖家，发货速度超快，包裹的也很严实，竹荪也特别好自然洁白，包装很大气，自己吃送人都很好，必须全5??好评。菌菇干货以后都在这家买了。', 'productId': '25744110028'}
{'content': '产品收到了很棒 非常喜欢 比实体店便宜了一大半  好评支持', 'productId': '25744110028'}
{'content': '很幸运被抽中试用资格，店家发货迅速，收到竹荪包装完好。没被硫磺熏过 自然的颜色 很满意 ，品相很好，泡发后肉质很厚实，可以多种搭配，营养丰富。竹荪以色泽浅黄、体大、无虫蛀者为佳。竹荪以其身形俊美动人而闻名，其鲜品形态犹如一个穿纱裙的姑娘，堪称&ldquo;雪裙仙子&rdquo;&rdquo;、&ldquo;山珍之花&rdquo;、&ldquo;真菌之花&rdquo;、&ldquo;菌中皇后&rdquo;。它具有延长汤羹等食品存放时间、保持菜肴鲜味不腐不馊的奇特功能，一向被帝王列为御膳，自古就列为&ldquo;草八珍&rdquo;之一。竹荪能够保护肝脏，竹荪能减少腹壁脂肪的积存，有俗称&ldquo;刮油&rdquo;的作用，从而产生降血压、降血脂和减肥的效果。。。。。。竹荪的吃法是多种多样的，可以炒着吃，可以炖汤吃，或者与其它的菜肴一起烹制食用。对健康很有帮助的一款食物，赞的', 'productId': '25744110028'}
{'content': '竹荪收到了，品相很好，泡发后肉质很厚实，可以多种搭配，营养丰富', 'productId': '25744110028'}
{'content': '挺好的', 'productId': '25744110028'}
{'content': '此用户未填写评价内容', 'productId': '25744110028'}
{'content': '长岭尖的竹荪挺好的，价格实惠，很干！无硫的，吃的放心，包装也很好', 'productId': '25744110028'}
{'content': '很满意，在朋友家吃过，特地看了京东有就买了，泡发之后水是黄的，证明没有漂白过，很健康，而且个头很大，也很完整，还会回购，炖了个排骨冬瓜竹荪汤，很爽口', 'productId': '25744110028'}
{'content': '味道很正，没有其它多余的杂味。?吃完再来。', 'productId': '25744110028'}
{'content': '还不错，炖鸡喝了', 'productId': '25744110028'}
{'content': '下午下单，第二天上午就到了，速度超快。包装很好，去掉裙子，泡发后白白胖胖的，非常诱人。关注你家了，以后会常来。', 'productId': '25744110028'}
{'content': '好好好好好好好好好好好好好好好', 'productId': '14056232133'}
{'content': '此用户未填写评价内容', 'productId': '14056232133'}
{'content': '莲子煮汤很糯好吃?', 'productId': '14056232133'}
{'content': '还可以吧，比较糯，莲心去除吃起来不苦', 'productId': '14056232133'}
{'content': '莲子棒棒的', 'productId': '14056232133'}
{'content': '好莲子', 'productId': '14056232133'}
{'content': '很香，东西不错，应该是新的。', 'productId': '17807932419'}
{'content': '开袋飘香，茶色清亮。内附小夹，倍感亲切。其茶味浓，回味悠长。赞\ue00e', 'productId': '17807932419'}
{'content': '货收到了。别人介绍说喝玳玳花泡的水对女人有好处。', 'productId': '17807932419'}
{'content': '刚收到 还没泡 应该可以', 'productId': '17807932419'}
{'content': '玳玳花与周庄购买的不像，也能喝习惯', 'productId': '17807932419'}
{'content': '现在家里的吃喝拉撒基本都在京东一站购齐。京东货品齐全，价格实惠，更重要的是方便快捷送货上门。支持京东！', 'productId': '17807932419'}
{'content': '花茶 贵在坚持 希望能起点作用', 'productId': '17807932419'}
{'content': '花多大小差别好大，不知功效是否一样。', 'productId': '17807932419'}
{'content': '没有野生的口味好。', 'productId': '17807932419'}
{'content': '干度和色泽不错', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '11131947109'}
{'content': '好好的，很干，我打粉泡茶喝，嗓子不痛了', 'productId': '11131947109'}
{'content': '此用户未填写评价内容', 'productId': '11131947109'}
{'content': '您没有填写内容，默认好评', 'productId': '11131947109'}
{'content': '此用户未填写评价内容', 'productId': '11131947109'}
{'content': '好好好好好的喔', 'productId': '11131947109'}
{'content': '之前在饭店喝过一个汤，是这个做的，很香，所以下单，但没想到这么多！', 'productId': '11131792335'}
{'content': '包装很一般，感觉包装袋里好多土&hellip;&hellip;不过味道很好', 'productId': '11131792335'}
{'content': '香味很好，做鱼汤更好啊。', 'productId': '11131792335'}
{'content': '味道特别好，跟我想象的一样。柠檬草的味道', 'productId': '11131792335'}
{'content': '实物与照片一致。', 'productId': '11131792335'}
{'content': '符合商品介绍满意......', 'productId': '11131792335'}
{'content': '刚刚到货跟图片一样质量保', 'productId': '11131792335'}
{'content': '相信京东，比实体略贵但值得购买', 'productId': '11131792335'}
{'content': '一次买了好几种，包装比较差，有一种还没贴产品标签', 'productId': '11131792335'}
{'content': '很不错的东东，效果非常好', 'productId': '11131792335'}
{'content': '很新鲜还带着泥，小叶子嫩绿，萝卜甜脆多汁，切开后汁水马上迸出来，蘸酱好吃。就是稍微有些辣口。', 'productId': '10789224022'}
{'content': '糊弄人玩，能吃吗', 'productId': '10789224022'}
{'content': '萝卜已收到。物流太慢了，开箱后有股发霉的气味。尝了感觉太辣，不知道是不是正宗沙窝萝卜。', 'productId': '10789224022'}
{'content': '味道凑合～有一点点辣～送货太慢了～北京地区还要三天', 'productId': '10789224022'}
{'content': '什么沙窝萝卜就是普通萝卜缺点有三：一水分少；二辛辣；三像棍子', 'productId': '10789224022'}
{'content': '萝卜都糠了，不好吃', 'productId': '10789224022'}
{'content': '发货快，不评价是否是沙窝萝卜，但萝卜很新鲜，连外包装重8斤，并非净重。', 'productId': '10789224022'}
{'content': '萝卜个大脆甜，好吃，分给朋友赞不绝口。', 'productId': '10789224022'}
{'content': '有点点辣      但非常脆      好吃', 'productId': '10789224022'}
{'content': '甜甜脆脆的口感，水量丰富', 'productId': '10789224022'}
{'content': '马鞭草预防三高。清热解毒，醒脑抗疲劳。我经常喝。不错好评。', 'productId': '11131597489'}
{'content': '快递超级暴力，盒子都不成样子，马鞭草的袋子烂掉撒在盒子里了。', 'productId': '11131597489'}
{'content': '一次买了好几种，包装比较差，有一种还没贴产品标签', 'productId': '11131597489'}
{'content': '挺不错的，很新鲜，满室清香。', 'productId': '11131597489'}
{'content': '今天刚收到货，因为买的杯子还没到，看着不错?', 'productId': '11131597489'}
{'content': '满1111111111111', 'productId': '11131597489'}
{'content': '好，，，，，，，，', 'productId': '11131597489'}
{'content': '包装很好，店家很用心。好评', 'productId': '11131597489'}
{'content': '满1111111111', 'productId': '11131597489'}
{'content': '挺好的，非常满意的一次购物。', 'productId': '11131597489'}
{'content': '还不错， 好好好好好好', 'productId': '11132085909'}
{'content': '感觉不正，口感跟平时买的不一样。', 'productId': '11132085909'}
{'content': '味道不错，快递很快', 'productId': '11132085909'}
{'content': '超级硬，要泡好久才泡开', 'productId': '11132085909'}
{'content': '还行', 'productId': '11132085909'}
{'content': '乌梅已收到，惊吓到我了，只有半瓶的乌梅，很无语，第一次给予大大的差评。', 'productId': '11132085909'}
{'content': '第一次用个人觉的还好用方便呵呵', 'productId': '11132085909'}
{'content': '不错啊很给力不错', 'productId': '11132085909'}
{'content': '不错，挺好的赞~~~', 'productId': '11132085909'}
{'content': '此用户未填写评价内容', 'productId': '11132085909'}
{'content': '比较好吃的', 'productId': '10751108357'}
{'content': '服务态度挺差的', 'productId': '10751108357'}
{'content': '慢', 'productId': '10751108357'}
{'content': '物流速度很快，地瓜很新鲜，吃着很香甜，烤着吃最好，价格不贵', 'productId': '10751108357'}
{'content': '此用户未填写评价内容', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '17807932419'}
{'content': '好(?▽?)。。。。。。。。。。。。。', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '17807932419'}
{'content': '好好好好好好好好好好', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '17807932419'}
{'content': '玳玳花 代代花 花草 初级农产品 散装 150g', 'productId': '17807932419'}
{'content': '第一次评`价这样，买的少包装还可以，有赠品。买的多没的赠品不说，透明袋装一大包开后没的密封', 'productId': '17807932419'}
{'content': '发货速度很快、卖家很有耐心的解答每一个问题、非常满意', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '17807932419'}
{'content': '您没有填写内容，默认好评', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '17807932419'}
{'content': '您没有填写内容，默认好评', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '17807932419'}
{'content': '您没有填写内容，默认好评', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '17807932419'}
{'content': '不错狠实惠', 'productId': '17807932419'}
{'content': '还可以吧', 'productId': '17807932419'}
{'content': '份量足', 'productId': '17807932419'}
{'content': '还很好', 'productId': '17807932419'}
{'content': '好评', 'productId': '17807932419'}
{'content': '不错', 'productId': '17807932419'}
{'content': '袋子破了，十分不解，并且看起来是装箱时就破了，差评', 'productId': '17807932419'}
{'content': '发货速度很快、卖家很有耐心的解答每一个问题、非常满意', 'productId': '17807932419'}
{'content': '卖家很好呢！发货速度很快！谢谢啦！', 'productId': '17807932419'}
{'content': '速度很快态度很好值得买', 'productId': '17807932419'}
{'content': '此用户未填写评价内容', 'productId': '11131792335'}
{'content': '此用户未填写评价内容', 'productId': '11131792335'}
{'content': '。。。。。。。', 'productId': '11131792335'}
{'content': '不错不错不错不错不错不错不错', 'productId': '11131792335'}
{'content': '～', 'productId': '11131792335'}
{'content': '好好好好好好', 'productId': '11131792335'}
{'content': '好好好好好好好的好好', 'productId': '11131792335'}
{'content': '不错挺好的嘛', 'productId': '11131792335'}
{'content': '好好好好好好好好好好好好好好好好', 'productId': '11131792335'}
{'content': '柠檬草很好，品质好。', 'productId': '11131792335'}
{'content': '很好很强大！', 'productId': '11131792335'}
{'content': '质量很好，包装也不错', 'productId': '11131792335'}
{'content': '味道清香，不错', 'productId': '11131792335'}
{'content': '本来我要的是柠檬草，店家发错了，然后沟通过后说给我补发，服务态度很好，非常感谢店家，这样的生意会越做越好的！', 'productId': '11131792335'}
{'content': '店家服务态度非常好，货物送到后，少了两瓶，店家核实后立马提出给我补发，十分负责任，我也很感动！', 'productId': '11131792335'}
{'content': '好。。。。。。。。。。', 'productId': '11131792335'}
{'content': '不错', 'productId': '11131792335'}
{'content': '非常快很好祝卖家生意兴隆', 'productId': '11131792335'}
{'content': '不错', 'productId': '11131792335'}
{'content': '东西很好，一看就是泰国进口过来的。要不然怎么上海同城路上还花费了四天。肯定是走的fedex的国际件。', 'productId': '11131792335'}
{'content': '柠檬草已收到，包装结实，物流很给力。', 'productId': '11131792335'}
{'content': '刚喝，味道不错，正宗', 'productId': '11131792335'}
{'content': '很香，味道很喜欢。除了泡水喝好喝，做菜还可以当做香料用', 'productId': '11131792335'}
{'content': '挺好的，还不错，很喜欢', 'productId': '11131792335'}
{'content': '好喝，非常喜欢喝，喝完再买！', 'productId': '11131792335'}
{'content': '送了给朋友，说还好', 'productId': '11131792335'}
{'content': '挺好的，就是没给我写名', 'productId': '11131792335'}
{'content': '嗯嗯  可以退货了', 'productId': '11131792335'}
{'content': '很棒。香味也好。', 'productId': '11131792335'}
{'content': '可以', 'productId': '11131792335'}
{'content': '香', 'productId': '11131792335'}
{'content': '好，，，，，，，，，', 'productId': '11131792335'}
{'content': '好呀谢', 'productId': '11131792335'}
{'content': '，', 'productId': '11131792335'}
{'content': '宝贝儿不错，味道很香！！！！！', 'productId': '11131792335'}
{'content': '好评', 'productId': '11131792335'}
{'content': '物流很快，东西特好，赞一个', 'productId': '11131792335'}
{'content': '不错', 'productId': '11131792335'}
{'content': '1234567890', 'productId': '11131792335'}
{'content': '没尝出什么茶味了', 'productId': '11131792335'}
{'content': '购买了几次了好', 'productId': '10789224022'}
{'content': '花茶已收到，叶片完整干净均匀，颜色转正，待品尝后再评价。', 'productId': '11131597489'}
{'content': '好。。。。。。。。。。', 'productId': '11131597489'}
{'content': '很不错。而且瓶子很好看。', 'productId': '11131597489'}
{'content': '很棒啊，跟描述完全相符', 'productId': '11131597489'}
{'content': '卖家真不错，很细心', 'productId': '11131597489'}
{'content': '很满意服务挺好', 'productId': '11131597489'}
{'content': '好评', 'productId': '11131597489'}
{'content': '不错', 'productId': '11131597489'}
{'content': '还好', 'productId': '11131597489'}
{'content': '没喝。不知道好不好', 'productId': '11131597489'}
{'content': '物流太慢了，订单到收货用了8天，东西都不新鲜了。', 'productId': '10789224022'}
{'content': '物流慢', 'productId': '10789224022'}
{'content': '好', 'productId': '10789224022'}
{'content': '我*', 'productId': '10789224022'}
{'content': '难吃物流又慢，差评差评', 'productId': '10789224022'}
{'content': '有点辣', 'productId': '10789224022'}
{'content': '味道不错！肯定会再买', 'productId': '10789224022'}
{'content': '味道凑合～有一点点辣～送货太慢了～北京地区还要三天', 'productId': '10789224022'}
{'content': '还可以', 'productId': '10789224022'}
{'content': '色，香，味，俱佳。', 'productId': '10789224022'}
{'content': '萝卜辣', 'productId': '10789224022'}
{'content': '味道确实不错，快递不快坏了2个共计4个。', 'productId': '10789224022'}
{'content': '有点辣', 'productId': '10789224022'}
{'content': '很好吃', 'productId': '10789224022'}
{'content': '请问这快递还可以再慢一些么。。', 'productId': '10789224022'}
{'content': '还可以', 'productId': '10789224022'}
{'content': '很好！', 'productId': '10789224022'}
{'content': '配送快', 'productId': '10789224022'}
{'content': '1月9号下单，到2月1日也没收到，定单状态被擅自改成已完成，也没发给退款，最垃圾的卖家，旧当花钱买教训，以后再也不会光顾，垃圾卖家！！！！！！！！！！！！！！！！', 'productId': '10789224022'}
{'content': '不像', 'productId': '10789224022'}
{'content': '好好好好好好', 'productId': '10789224022'}
{'content': '产品还不错的', 'productId': '10789224022'}
{'content': '萝卜真好吃\ue056', 'productId': '10789224022'}
{'content': '色·香·味·形，佳。', 'productId': '10789224022'}
{'content': '色，香，味，俱佳。', 'productId': '10789224022'}
{'content': '非常满意的', 'productId': '10789224022'}
{'content': '好吃的萝卜', 'productId': '10789224022'}
{'content': '萝卜倒是挺新鲜的，包装也很好，也不是很辣，可是，8斤萝卜只有七根，一根萝卜，只有一个手掌大小，严重的缺斤少两。', 'productId': '10789224022'}
{'content': '我是2月20日下单萝卜，今天才收到，萝卜全部糠了。请你们看看，可以吃吗？请倍偿！2月20日到3月8日多少天了！', 'productId': '10789224022'}
{'content': '还可以吧', 'productId': '10789224022'}
{'content': '水气很大，辣味有些重，新鲜', 'productId': '10789224022'}
{'content': '罗卜太大条太老了', 'productId': '10789224022'}
{'content': '不错不错不错不错不错', 'productId': '10789224022'}
{'content': '味道不错！肯定会再买', 'productId': '10789224022'}
{'content': '很满意，都喜欢吃', 'productId': '10789224022'}
{'content': '不错的，爸妈很赞', 'productId': '10789224022'}
{'content': '感觉份量有点不足', 'productId': '10789224022'}
{'content': '挺好的?水分多', 'productId': '10789224022'}
{'content': '新鲜，质量好', 'productId': '10789224022'}
{'content': '发回来都坏了', 'productId': '10789224022'}
{'content': '挺好的，但是放烂完了，没吃成', 'productId': '10789224022'}
{'content': '又脆又甜，好吃！', 'productId': '10789224022'}
{'content': '商品不错非常满意！', 'productId': '10789224022'}
{'content': '很不错，值得向大伙推荐，赞一个！', 'productId': '10789224022'}
{'content': '很好吃，很脆，很甜。。。。。。。', 'productId': '10789224022'}
{'content': '骗人的，一点也不好吃，就是炒作', 'productId': '10789224022'}
{'content': '就不能选些小点的邮寄过来吗？三个8斤，够大的~！', 'productId': '10789224022'}
{'content': '很好吃，生吃炒菜吃都很好', 'productId': '10789224022'}
{'content': '好吃^_^^_^^_^^_^^_^', 'productId': '10789224022'}
{'content': '东东看起不错，不知道味道如何。', 'productId': '10789224022'}
{'content': '还行', 'productId': '11131792335'}
{'content': '好', 'productId': '11131792335'}
{'content': '不好，差评', 'productId': '11131792335'}
{'content': '味道很好，喝起很香', 'productId': '11131792335'}
{'content': '味道挺正的，物流也挺快', 'productId': '11131792335'}
{'content': '喜欢柠檬草的味道，好喝。要是包装袋换成纸袋就好了，塑料袋不好存放，买多了没地儿搁。', 'productId': '11131792335'}
{'content': '不错', 'productId': '11131792335'}
{'content': '第一次购买，很好，搭配花茶很好喝，物流很快。', 'productId': '11131792335'}
{'content': '好好好好好好好好好好好', 'productId': '11131792335'}
{'content': '照片里的瓶子呢？', 'productId': '11131792335'}
{'content': '?好香，喜欢', 'productId': '11131792335'}
{'content': '15元差不多', 'productId': '11131792335'}
{'content': '还不错，跟以前感觉一样', 'productId': '11131792335'}
{'content': '喝喝更健康', 'productId': '11131792335'}
{'content': '很满意！！', 'productId': '11131792335'}
{'content': '很好很香', 'productId': '11131792335'}
{'content': '不错', 'productId': '11131792335'}
{'content': '还好，&hellip;&hellip;&hellip;&hellip;。', 'productId': '11131792335'}
{'content': '这个都是香茅草的上半部，不是下半部白色部分，不好。', 'productId': '11131792335'}
{'content': '不够香', 'productId': '11131792335'}
{'content': '保湿效果不错，喜欢', 'productId': '11131792335'}
{'content': '货很好，值得拥有', 'productId': '11131792335'}
{'content': '味道很好，喝起很香', 'productId': '11131792335'}
{'content': '不如在喜象泰喝的', 'productId': '11131792335'}
{'content': '满意！谢谢服务！', 'productId': '11131792335'}
{'content': '还不错，给好评', 'productId': '11131792335'}
{'content': '是我想要的味道', 'productId': '11131792335'}
{'content': '不错，非常香，', 'productId': '11131792335'}
{'content': '刚收到看效果吧', 'productId': '11131792335'}
{'content': '很好，很满意！', 'productId': '11131792335'}
{'content': '味道淡一些，没有新鲜的好', 'productId': '11131792335'}
{'content': '还不错，好大一包', 'productId': '11131792335'}
{'content': '给老公买的，泡水喝味道不错', 'productId': '11131792335'}
{'content': '还可以的！下次有机会再买', 'productId': '11131792335'}
