帖子名称,发帖人ID,发帖人progression,发帖时间,发帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following,回帖人ID,回帖人progression,回帖时间,回帖人competition名次,Total Posts,Comments,Topics,Net Votes,所在地,注册时间,followers,following
can't select submissions,codereason,contributor,2019-04-09T09:06:27.88Z,129,14,11,3,8,Beijing-China,2018-09-08T06:21:39.45Z,1,2,MasterScrat,contributor,2019-04-09T09:08:27.607Z,2386,61,50,11,74,Lausanne-Switzerland,2018-10-14T14:00:37.293Z,7,33
Big Magic on Train and empty on Test ,Lang Sys,contributor,2019-04-07T08:09:10.443Z,3104,7,5,2,-8,Somerset-USA,2019-03-10T16:36:43.85Z,0,0,AmirH,expert,2019-04-07T08:31:26.597Z,47,316,278,38,738,Even Yehuda-Israel,2018-03-06T21:10:11.613Z,30,1
How to sync your CV and LB,Manoj,expert,2019-04-06T09:39:53.3Z,732,356,295,61,464,Jajpur-India,2016-11-22T13:49:44.363Z,18,85,Hussein Jundi,contributor,2019-04-06T10:50:03.97Z,3520,23,23,0,11,Munich-Germany,2018-07-11T06:33:03.763Z,5,5
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,CPMP,grandmaster,2019-04-04T07:07:53.86Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0
Is this magic ?,tarobxl,master,2019-03-26T16:47:43.083Z,1564,124,93,31,240,-,2016-05-19T08:56:22.593Z,43,6,CPMP,grandmaster,2019-03-26T17:23:57.857Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0
Best graduation gift(#24 solution to consider magic),Tomoyo,expert,2019-04-11T01:30:04.317Z,24,18,17,1,40,Beijing-China,2017-01-20T06:49:38.087Z,5,0,CoreyLevinson,master,2019-04-11T01:49:42.2Z,13,674,644,30,851,Chicago-United States,2017-08-29T20:50:01.603Z,49,24
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Abhishek,grandmaster,2019-04-11T01:43:17.653Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0
Applause for YaG320,Antonio Marin,expert,2019-04-11T05:46:00.82Z,216,7,6,1,38,Sevilla-España,2015-07-07T08:09:25.927Z,11,70,YaGana Sheriff-Hussaini,expert,2019-04-11T22:20:19.887Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11
This competition's winners should write a textbook on ML,Aman.cyberia,expert,2019-04-08T22:02:32.933Z,1622,95,62,33,293,Dublin-Ireland,2016-03-08T20:17:09.9Z,7,103,mey lone,contributor,2019-04-09T02:57:59.677Z,1631,43,42,1,58,Fredericton-Canada,2018-02-16T04:20:48.82Z,1,1
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,2019-04-16T18:35:44.947Z,24,326,279,47,504,Pittsburgh-USA,2017-10-12T20:10:30.413Z,169,111,senkin13,master,2019-04-17T03:47:28.41Z,24,110,107,3,283,Zhenjiang-China,2016-09-14T14:24:24.05Z,191,0
Withdrawal Symptoms,Chua Cheng Hong,contributor,2019-04-11T05:15:15.047Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1,dhaqui the kaggler,expert,2019-04-11T08:01:38.683Z,1016,156,153,3,86,Tokyo-Japan,2018-11-19T07:36:04.663Z,9,6
At last I find some so-called 'magic',slaine,novice,2019-04-10T11:37:43.953Z,194,1,0,1,12,-,2018-06-30T10:08:50.21Z,0,0,César Parra Rojas,expert,2019-04-10T11:53:07.853Z,179,24,22,2,26,Frankfurt-Germany,2018-01-05T11:28:05.903Z,9,13
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,YaGana Sheriff-Hussaini,expert,2019-04-11T21:51:15.403Z,638,1592,1540,52,1030,-United States,2017-02-05T02:13:28.57Z,49,11
"Result seems finalized, check your profile!",Strideradu,master,2019-04-16T18:08:08.59Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,Binil,expert,2019-04-16T18:32:27.003Z,807,139,126,13,190,Minneapolis-United States,2016-08-26T02:23:08.957Z,7,2
Jumped way down,MHunte,contributor,2019-04-11T15:20:51.497Z,1645,2,1,1,0,St. Louis-USA,2016-05-26T05:07:47.537Z,0,0,Kamal Chhirang,expert,2019-04-11T15:33:31.19Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13
Found it; however at this stage we should be carful,A.Barqawi,expert,2019-04-09T05:29:45.91Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1,Peng ,contributor,2019-04-09T05:52:42.82Z,34,46,39,7,85,Sunnyvale-USA,2019-03-25T01:44:50.437Z,3,1
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Jiwei Liu,grandmaster,2019-04-04T11:25:16.117Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68
Is this magic ?,tarobxl,master,2019-03-26T16:47:43.083Z,1564,124,93,31,240,-,2016-05-19T08:56:22.593Z,43,6,BrainFuck,contributor,2019-03-26T16:56:22.27Z,211,57,52,5,175,Nanjing-China,2017-10-09T15:22:28.58Z,6,15
Best graduation gift(#24 solution to consider magic),Tomoyo,expert,2019-04-11T01:30:04.317Z,24,18,17,1,40,Beijing-China,2017-01-20T06:49:38.087Z,5,0,E.Y,expert,2019-04-11T01:51:57.753Z,127,34,32,2,45,Sydney-Australia,2017-10-17T05:07:37.837Z,1,26
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Kain,master,2019-04-11T08:08:50.787Z,97,149,145,4,270,Munich-Germany,2018-02-22T06:07:04.937Z,24,28
This competition's winners should write a textbook on ML,Aman.cyberia,expert,2019-04-08T22:02:32.933Z,1622,95,62,33,293,Dublin-Ireland,2016-03-08T20:17:09.9Z,7,103,午夜屠猪男,novice,2019-04-09T01:53:03.34Z,404,16,15,1,10,杭州市-China,2017-08-08T12:50:50.447Z,2,30
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,2019-04-16T18:35:44.947Z,24,326,279,47,504,Pittsburgh-USA,2017-10-12T20:10:30.413Z,169,111,Giba,grandmaster,2019-04-16T18:50:55.46Z,7,632,598,34,4022,Curitiba-Brazil,2012-08-23T17:26:51.11Z,6020,23
Withdrawal Symptoms,Chua Cheng Hong,contributor,2019-04-11T05:15:15.047Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1,Jacek Poplawski,expert,2019-04-11T14:58:17.67Z,2743,411,364,47,445,Wrocław-Polska,2017-06-24T00:01:35.793Z,17,20
At last I find some so-called 'magic',slaine,novice,2019-04-10T11:37:43.953Z,194,1,0,1,12,-,2018-06-30T10:08:50.21Z,0,0,JY LIN,novice,2019-04-10T12:05:11.157Z,1995,27,27,0,10,Shanghai-China,2017-04-05T13:35:46.233Z,0,0
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,mrxnew,expert,2019-04-12T04:13:54.307Z,566,40,40,0,15,Pune-India,2013-08-06T06:27:58.58Z,0,7
"Result seems finalized, check your profile!",Strideradu,master,2019-04-16T18:08:08.59Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,Psi,expert,2019-04-16T18:32:34.12Z,7,274,270,4,836,Vienna-Austria,2012-03-29T14:12:46.277Z,180,7
Found it; however at this stage we should be carful,A.Barqawi,expert,2019-04-09T05:29:45.91Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1,A.Barqawi,expert,2019-04-09T16:04:32.957Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1
Visual Features Correlation,A.Barqawi,expert,2019-03-30T11:26:26.167Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1,Jiwei Liu,grandmaster,2019-03-30T12:16:24.99Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68
Whats your training score?,Abhishek,grandmaster,2019-04-03T18:06:38.183Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Dalton Hall,expert,2019-04-03T18:10:41.053Z,119,99,95,4,346,Baton Rouge-USA,2018-06-17T16:34:58.317Z,10,3
Can anyone tell me where scores come from?,Code Man,novice,2019-04-07T11:16:58.857Z,1243,5,3,2,2,-,2019-03-16T08:21:53.983Z,0,0,Felipe Mello,expert,2019-04-07T11:29:25.627Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11
Using public score to predict final outcome,Peng ,contributor,2019-04-07T08:31:52.25Z,34,46,39,7,85,Sunnyvale-USA,2019-03-25T01:44:50.437Z,3,1,JM100,expert,2019-04-07T15:47:28.133Z,1501,160,131,29,199,Fes-Morocco,2018-09-11T15:26:46.917Z,8,43
Why overfitting in LB?,Leo,contributor,2019-04-08T09:29:32.677Z,1439,6,5,1,1,Xian-China,2019-02-21T09:20:16.333Z,0,1,Yizhi,expert,2019-04-08T09:47:59.817Z,114,17,17,0,5,-China,2016-04-22T10:54:18.91Z,1,0
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,CPMP,grandmaster,2019-04-02T19:03:53.807Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,Jiwei Liu,grandmaster,2019-03-23T23:57:23.647Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Subrahmanyam V,expert,2019-04-04T07:08:53.703Z,3341,54,48,6,54,Hyderabad-India,2018-07-23T05:05:42.953Z,1,6
Is this magic ?,tarobxl,master,2019-03-26T16:47:43.083Z,1564,124,93,31,240,-,2016-05-19T08:56:22.593Z,43,6,raddar,grandmaster,2019-03-26T17:06:33.423Z,55,622,585,37,2838,Vilnius-Lithuania,2015-08-24T11:49:01.703Z,1442,9
Best graduation gift(#24 solution to consider magic),Tomoyo,expert,2019-04-11T01:30:04.317Z,24,18,17,1,40,Beijing-China,2017-01-20T06:49:38.087Z,5,0,RahulAgarwal,contributor,2019-04-11T02:04:14.693Z,1682,13,11,2,2,Bengaluru-India,2016-07-22T05:46:49.31Z,1,9
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Psi,expert,2019-04-11T11:43:23.053Z,7,274,270,4,836,Vienna-Austria,2012-03-29T14:12:46.277Z,180,7
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,2019-04-16T18:35:44.947Z,24,326,279,47,504,Pittsburgh-USA,2017-10-12T20:10:30.413Z,169,111,Himanshu Soni,contributor,2019-04-20T04:41:51.153Z,,53,52,1,53,Kolkata-India,2018-09-07T18:24:07.873Z,3,10
Withdrawal Symptoms,Chua Cheng Hong,contributor,2019-04-11T05:15:15.047Z,3,46,36,10,287,Singapore-,2018-10-17T07:51:30.307Z,11,1,Scirpus,grandmaster,2019-04-11T15:47:37.893Z,300,1425,1289,136,3142,Cheshire-England,2014-09-29T15:57:04.947Z,406,0
At last I find some so-called 'magic',slaine,novice,2019-04-10T11:37:43.953Z,194,1,0,1,12,-,2018-06-30T10:08:50.21Z,0,0,aseeph moh,contributor,2019-04-10T13:22:33.243Z,3197,32,26,6,19,Frisco-USA,2019-02-13T02:11:41.13Z,14,501
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,Aditya Soni,expert,2019-04-11T19:27:25.29Z,3901,895,877,18,888,Kolkata-India,2016-12-14T08:49:11.583Z,103,81
"Result seems finalized, check your profile!",Strideradu,master,2019-04-16T18:08:08.59Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,LongYin,expert,2019-04-17T00:33:36.877Z,243,518,502,16,445,南京市-中国,2017-08-10T08:06:00.193Z,121,141
Visual Features Correlation,A.Barqawi,expert,2019-03-30T11:26:26.167Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1,Chris Deotte,master,2019-03-30T13:15:36.193Z,50,1706,1675,31,4646,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
Whats your training score?,Abhishek,grandmaster,2019-04-03T18:06:38.183Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,0DD1,expert,2019-04-05T02:34:17.897Z,,52,44,8,12,Gurgaon-India,2017-06-07T03:55:40.277Z,13,17
Using public score to predict final outcome,Peng ,contributor,2019-04-07T08:31:52.25Z,34,46,39,7,85,Sunnyvale-USA,2019-03-25T01:44:50.437Z,3,1,Peng ,contributor,2019-04-09T00:42:48.113Z,34,46,39,7,85,Sunnyvale-USA,2019-03-25T01:44:50.437Z,3,1
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,Nanashi,expert,2019-04-01T13:48:25.66Z,663,266,204,62,594,Valladolid-Spain,2019-02-04T18:37:32.493Z,197,101
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,Davut Polat,master,2019-03-21T20:15:32.287Z,55,187,176,11,418,Istanbul-Turkey,2013-05-02T17:59:41.253Z,93,4
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Jiwei Liu,grandmaster,2019-04-04T12:09:54.957Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68
Best graduation gift(#24 solution to consider magic),Tomoyo,expert,2019-04-11T01:30:04.317Z,24,18,17,1,40,Beijing-China,2017-01-20T06:49:38.087Z,5,0,BX.,contributor,2019-04-11T12:46:33.46Z,24,15,14,1,10,Winston-Salem-USA,2018-06-03T15:45:06.83Z,2,12
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Ahmet Erdem,master,2019-04-11T08:38:56.62Z,55,216,195,21,1092,Amsterdam-Netherlands,2015-11-22T15:08:14.03Z,222,15
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,2019-04-16T18:35:44.947Z,24,326,279,47,504,Pittsburgh-USA,2017-10-12T20:10:30.413Z,169,111,synergy37ai,expert,2019-04-18T11:02:37.52Z,,339,323,16,134,Bangalore-India,2018-01-15T10:39:55.217Z,13,50
At last I find some so-called 'magic',slaine,novice,2019-04-10T11:37:43.953Z,194,1,0,1,12,-,2018-06-30T10:08:50.21Z,0,0,Orange,expert,2019-04-10T16:28:50.793Z,81,62,53,9,56,Shenzhen-China,2016-06-11T07:33:20.02Z,14,6
Tribute to Chris Deotte,CPMP,grandmaster,2019-04-11T08:11:28.697Z,15,5018,4781,237,12233,-France,2012-12-16T12:03:05.527Z,2106,0,Ashok kumar,novice,2019-04-11T18:38:55.56Z,,4,4,0,2,Gurugram-India,2019-04-03T12:03:13.953Z,0,5
"Result seems finalized, check your profile!",Strideradu,master,2019-04-16T18:08:08.59Z,20,359,327,32,367,East Lansing-USA,2015-05-12T04:15:16.467Z,59,42,LongYin,expert,2019-04-17T00:57:02Z,243,518,502,16,445,南京市-中国,2017-08-10T08:06:00.193Z,121,141
"""boosting algorithms like LightGBM are not very good in detecting the frequencies of the features""",Scrooge,contributor,2019-04-11T01:09:10.603Z,4553,20,15,5,136,Calgary-Canada,2014-07-01T02:11:56.75Z,0,1,Chris Deotte,master,2019-04-11T01:11:08.127Z,50,1706,1675,31,4646,San Diego-USA,2018-03-14T22:51:30.63Z,747,0
Hints for late joiners,Dieter,master,2019-03-28T22:56:51.37Z,13,456,418,38,1665,München-Deutschland,2017-11-17T06:39:22.317Z,511,9,Felipe Mello,expert,2019-03-28T23:40:53.233Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11
Two ways to utilize the magic?,bearstrikesback,expert,2019-04-09T13:44:42.62Z,132,113,111,2,130,Moscow-Russia,2015-06-07T23:53:45.087Z,3,0,Felipe Mello,expert,2019-04-09T13:57:56.32Z,70,141,131,10,292,Philadelphia-USA,2019-01-09T21:03:18.01Z,41,11
cv:0.907 LB0.882 what happened????,wanghui,contributor,2019-04-08T14:42:37.7Z,155,20,17,3,4,Nanjing-China,2018-05-31T08:36:42.127Z,2,2,zcistkidd,expert,2019-04-08T18:05:57.137Z,2497,31,28,3,16,Vancouver-Canada,2017-05-12T17:38:19.617Z,2,15
Visual Features Correlation,A.Barqawi,expert,2019-03-30T11:26:26.167Z,273,84,71,13,155,Amman-Jordan,2018-01-02T21:28:11.07Z,8,1,Rob Mulla,expert,2019-03-30T15:16:01.603Z,13,294,277,17,627,Rockville-United States,2016-06-18T17:07:06.333Z,87,17
Whats your training score?,Abhishek,grandmaster,2019-04-03T18:06:38.183Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,interneuron,master,2019-04-03T23:09:18.213Z,3,374,368,6,506,Austin-USA,2018-05-11T23:57:31.42Z,30,0
This is a game about finding ONE PIECE,程序,master,2019-04-01T06:17:32.473Z,26,9,5,4,87,Hangzhou-China,2017-06-19T08:06:35.543Z,107,43,Güneş Evitan,contributor,2019-04-02T06:41:11.87Z,2521,17,15,2,14,Ankara-Turkey,2019-01-15T13:12:55.71Z,5,3
Dexter's Lab is back!,Jiwei Liu,grandmaster,2019-03-21T14:49:29.36Z,17,1126,1010,116,2986,Pittsburgh-United States,2013-05-09T03:27:56.19Z,788,68,eagle4,expert,2019-03-23T15:10:15.92Z,2746,171,166,5,187,New York-United States,2015-07-22T17:43:47.123Z,4,5
One thing I learned is..Never start by forking the best Kernel.,Kamal Chhirang,expert,2019-04-04T03:47:32.207Z,1353,155,136,19,256,Jaipur-India,2018-08-14T12:44:01.867Z,31,13,Daniel Möller,expert,2019-04-04T03:57:23.65Z,3831,588,554,34,598,Rio de Janeiro-Brazil,2017-04-28T19:01:17.173Z,11,1
its not effin magic,Abhishek,grandmaster,2019-04-11T01:33:03.623Z,84,1399,1217,182,3545,Stavanger-Norway,2011-01-12T03:44:52Z,1451,0,Alexey Morgunov,contributor,2019-04-11T10:28:54.423Z,1404,3,3,0,8,Cambridge-UK,2019-01-26T10:43:02.097Z,0,0
Congratulations to @30CrMnSiA for Grandmaster status!,A.L.,master,2019-04-16T18:35:44.947Z,24,326,279,47,504,Pittsburgh-USA,2017-10-12T20:10:30.413Z,169,111,chizhu,master,2019-04-17T03:47:58.017Z,37,68,61,7,122,Chongqing-China,2018-02-02T09:10:04.77Z,100,49
